Type,Name,Constraints,XAxis,YAxis,Height,HemisphereZone,Description
UTM,BW87,CCC,329704.609,5828023.912,113.258,55,
UTM,BW44,CCC,329540.479,5827994.321,112.119,55,
UTM,BW68,CCC,329406.165,5828026.699,111.13,55,
UTM,BW53,CCC,329219.82,5828063.693,110.577,55,
UTM,BW54,CCC,329308.788,5827973.64,114.191,55,
UTM,BW36,CCC,329077.657,5828053.96,111.502,55,
UTM,TP02,CCC,329060.763,5827723.237,115.38,55,
UTM,TP03,CCC,329158.613,5827711.774,117.372,55,
UTM,TP04,CCC,329272.506,5827700.785,117.318,55,
UTM,TP05,CCC,329406.953,5827685.677,115.946,55,
UTM,TP06,CCC,329568.77,5827698.359,114.097,55,
UTM,TP10,CCC,329025.675,5827969.595,113.386,55,
UTM,BW74,CCC,329517.923,5827756.256,112.84,55,
UTM,BW79,CCC,329631.457,5827690.097,114.859,55,
UTM,BW80,CCC,329598.7,5827810.76,112.763,55,
UTM,BW52,CCC,329221.15,5828002.445,111.162,55,
UTM,BW55,CCC,329301.434,5827913.137,115.132,55,
UTM,BW69B,CCC,329376.497,5827887.607,113.845,55,
UTM,BW51,CCC,329224.908,5827912.221,115.851,55,
UTM,BW40,CCC,329159.701,5827978.827,113.751,55,
UTM,BW38,CCC,329109.631,5827987.399,113.48,55,
UTM,BW35,CCC,329070.236,5828011.808,112.546,55,
UTM,BW32,CCC,328973.327,5828004.539,113.406,55,
UTM,BW28,CCC,328925.349,5828030.569,113.139,55,
UTM,BW15,CCC,328843.071,5828070.416,112.644,55,
UTM,BW18,CCC,328849.444,5827954.683,111.959,55,
UTM,BW22,CCC,328880.302,5827739.097,108.732,55,
UTM,BW23,CCC,328900.221,5827795.105,109.423,55,
UTM,BW64,CCC,329388.31,5827754.081,115.289,55,
UTM,RIV,CCC,328949.5121,5827858.879,112.0412,55,
UTM,SCRATCH,CCC,329215.5677,5827724.021,117.6079,55,
UTM,SPIKE1,CCC,329406.5491,5827872.881,112.7688,55,
UTM,SPIKE2,CCC,329148.881,5827980.863,113.7288,55,
UTM,SPIKE3,CCC,329045.5087,5827983.864,113.4052,55,
UTM,SPIKE4,CCC,328911.5213,5828022.985,113.2816,55,
UTM,SPIKE5,CCC,328861.2146,5827745.015,109.036,55,
UTM,SPIKE6,CCC,329034.3846,5827726.24,114.0798,55,
UTM,SPIKE7,CCC,329651.9874,5827854.787,113.3114,55,
UTM,STN1,FFF,329075.636,5827856.902,154.1168,55,
UTM,STN4,FFF,329086.4079,5827847.071,154.1898,55,
UTM,CORS,CCC,329322.92,5827833.051,141.032,55,
UTM,TRIG,CCC,329060.681,5827823.224,117.375,55,
